2024-04-10 16:38:13.413 [prti1516e: LRC[0x67c2e933] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<105>, ObjectClassHandle: objectClass<9>, Name: ExCO, FederateHandle: null
2024-04-10 16:38:13.465 [main] INFO  skf.core.SEEHLAModule - The Interaction ' ModeTransitionRequest [execution_mode=null] ' has been published.
2024-04-10 16:39:41.500 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2024-04-10 16:39:41.520 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-04-10 16:39:41.665 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2024-04-10 16:39:41.722 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.5.9, hlaVersion: HLA IEEE 1516-2010
2024-04-10 16:39:42.074 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2024-04-10 16:39:42.075 [main] INFO  skf.core.SEEHLAModule - Join the federate ' TestCommHub ' into the Federation execution ' SEE 2024 '.
2024-04-10 16:39:42.224 [prti1516e: LRC[0x2c532cd8] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - Synchronization point announced: INITIALIZATION_COMPLETED
2024-04-10 16:39:42.228 [main] INFO  skf.core.SEEHLAModule - Asynchronous delivery enabled.
2024-04-10 16:39:42.228 [main] INFO  skf.core.SEEHLAModule - Subscribed to the Subject
2024-04-10 16:39:42.238 [main] INFO  skf.core.SEEHLAModule - The ObjectClass 'class skf.model.object.executionConfiguration.ExecutionConfiguration' has been subscribed.
2024-04-10 16:39:42.251 [prti1516e: LRC[0x2c532cd8] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<105>, ObjectClassHandle: objectClass<9>, Name: ExCO, FederateHandle: null
2024-04-10 16:39:42.287 [main] INFO  skf.core.SEEHLAModule - The Interaction ' ModeTransitionRequest [execution_mode=null] ' has been published.
2024-04-10 16:40:27.539 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2024-04-10 16:40:27.554 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-04-10 16:40:27.670 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2024-04-10 16:40:27.716 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.5.9, hlaVersion: HLA IEEE 1516-2010
2024-04-10 16:40:28.055 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2024-04-10 16:40:28.056 [main] INFO  skf.core.SEEHLAModule - Join the federate ' TestCommHub ' into the Federation execution ' SEE 2024 '.
2024-04-10 16:40:28.201 [prti1516e: LRC[0x39a8312f] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - Synchronization point announced: INITIALIZATION_COMPLETED
2024-04-10 16:40:28.204 [main] INFO  skf.core.SEEHLAModule - Asynchronous delivery enabled.
2024-04-10 16:40:28.204 [main] INFO  skf.core.SEEHLAModule - Subscribed to the Subject
2024-04-10 16:40:28.213 [main] INFO  skf.core.SEEHLAModule - The ObjectClass 'class skf.model.object.executionConfiguration.ExecutionConfiguration' has been subscribed.
2024-04-10 16:40:28.222 [prti1516e: LRC[0x39a8312f] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<105>, ObjectClassHandle: objectClass<9>, Name: ExCO, FederateHandle: null
2024-04-10 16:40:28.278 [main] INFO  skf.core.SEEHLAModule - The Interaction ' ModeTransitionRequest [execution_mode=null] ' has been published.
2024-04-10 16:41:19.408 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2024-04-10 16:41:19.426 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-04-10 16:41:19.590 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2024-04-10 16:41:19.643 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.5.9, hlaVersion: HLA IEEE 1516-2010
2024-04-10 16:41:19.964 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2024-04-10 16:41:19.965 [main] INFO  skf.core.SEEHLAModule - Join the federate ' TestCommHub ' into the Federation execution ' SEE 2024 '.
2024-04-10 16:41:20.132 [prti1516e: LRC[0x018920cc] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - Synchronization point announced: INITIALIZATION_COMPLETED
2024-04-10 16:41:20.134 [main] INFO  skf.core.SEEHLAModule - Asynchronous delivery enabled.
2024-04-10 16:41:20.135 [main] INFO  skf.core.SEEHLAModule - Subscribed to the Subject
2024-04-10 16:41:20.143 [main] INFO  skf.core.SEEHLAModule - The ObjectClass 'class skf.model.object.executionConfiguration.ExecutionConfiguration' has been subscribed.
2024-04-10 16:41:20.165 [prti1516e: LRC[0x018920cc] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<105>, ObjectClassHandle: objectClass<9>, Name: ExCO, FederateHandle: null
2024-04-10 16:41:20.215 [main] INFO  skf.core.SEEHLAModule - The Interaction ' ModeTransitionRequest [execution_mode=null] ' has been published.
2024-04-10 16:53:42.093 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2024-04-10 16:53:42.108 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
