2024-04-18 22:02:08.276 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2024-04-18 22:02:08.298 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-04-18 22:02:08.472 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2024-04-18 22:02:08.539 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.5.9, hlaVersion: HLA IEEE 1516-2010
2024-04-18 22:02:09.388 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2024-04-18 22:02:09.389 [main] INFO  skf.core.SEEHLAModule - Join the federate ' TestCommHub ' into the Federation execution ' SEE 2024 '.
2024-04-18 22:02:10.268 [main] INFO  skf.core.SEEHLAModule - Asynchronous delivery enabled.
2024-04-18 22:02:10.269 [main] INFO  skf.core.SEEHLAModule - Subscribed to the Subject
2024-04-18 22:02:10.395 [prti1516e: LRC[0x31000e60] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - Synchronization point announced: INITIALIZATION_COMPLETED
2024-04-18 22:02:10.411 [main] INFO  skf.core.SEEHLAModule - The ObjectClass 'class skf.model.object.executionConfiguration.ExecutionConfiguration' has been subscribed.
2024-04-18 22:02:10.420 [prti1516e: LRC[0x31000e60] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<2117>, ObjectClassHandle: objectClass<9>, Name: ExCO, FederateHandle: null
2024-04-18 22:02:10.582 [main] INFO  skf.core.SEEHLAModule - The Interaction ' ModeTransitionRequest [execution_mode=null] ' has been published.
2024-04-18 22:02:10.594 [main] INFO  skf.core.SEEHLAModule - The Object ' model.TestCommHub@7a26928a ' has been published.
2024-04-18 22:02:10.594 [main] INFO  skf.core.SEEHLAModule - Subscribing the ' AitkenBasinLocalFixed ' ReferenceFrame
2024-04-18 22:02:10.607 [main] INFO  skf.core.SEEHLAModule - Set up time management.
2024-04-18 22:02:10.607 [main] INFO  skf.core.SEEHLAModule - Time constrained enabled.
