2024-05-01 03:16:42.693 [prti1516e: LRC[0x70ab2d48] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1110>, ObjectClassHandle: objectClass<8>, Name: EarthMoonL2Rotating, FederateHandle: null
2024-05-01 03:16:42.693 [prti1516e: LRC[0x70ab2d48] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1108>, ObjectClassHandle: objectClass<8>, Name: MoonCentricInertial, FederateHandle: null
2024-05-01 03:16:42.693 [prti1516e: LRC[0x70ab2d48] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1112>, ObjectClassHandle: objectClass<8>, Name: MarsCentricFixed, FederateHandle: null
2024-05-01 03:16:42.693 [prti1516e: LRC[0x70ab2d48] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1111>, ObjectClassHandle: objectClass<8>, Name: MarsCentricInertial, FederateHandle: null
2024-05-01 03:16:42.693 [prti1516e: LRC[0x70ab2d48] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1107>, ObjectClassHandle: objectClass<8>, Name: EarthCentricFixed, FederateHandle: null
2024-05-01 03:16:42.693 [prti1516e: LRC[0x70ab2d48] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1105>, ObjectClassHandle: objectClass<8>, Name: EarthMoonBarycentricRotating, FederateHandle: null
2024-05-01 03:16:42.693 [prti1516e: LRC[0x70ab2d48] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1104>, ObjectClassHandle: objectClass<8>, Name: EarthMoonBarycentricInertial, FederateHandle: null
2024-05-01 03:16:42.693 [prti1516e: LRC[0x70ab2d48] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1106>, ObjectClassHandle: objectClass<8>, Name: EarthCentricInertial, FederateHandle: null
2024-05-01 03:16:42.693 [prti1516e: LRC[0x70ab2d48] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1114>, ObjectClassHandle: objectClass<8>, Name: SeeLunarSouthPoleBaseLocalFixed, FederateHandle: null
2024-05-01 03:16:42.694 [prti1516e: LRC[0x70ab2d48] Federate service] ERROR skf.core.SEEAbstractFederateAmbassador - Can't find the FrameType: SeeLunarSouthPoleBaseLocalFixed
2024-05-01 03:16:42.694 [prti1516e: LRC[0x70ab2d48] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1113>, ObjectClassHandle: objectClass<8>, Name: AitkenBasinLocalFixed, FederateHandle: null
2024-05-01 03:16:42.694 [prti1516e: LRC[0x70ab2d48] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1102>, ObjectClassHandle: objectClass<8>, Name: SolarSystemBarycentricInertial, FederateHandle: null
2024-05-01 03:16:42.694 [prti1516e: LRC[0x70ab2d48] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1109>, ObjectClassHandle: objectClass<8>, Name: MoonCentricFixed, FederateHandle: null
2024-05-01 03:16:43.755 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:16:44.702 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:16:45.706 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:16:46.701 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:16:47.711 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:16:48.721 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:16:49.702 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:16:50.724 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:16:51.706 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:16:52.699 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:16:53.704 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:16:54.715 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:16:55.709 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:16:56.706 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:16:57.713 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:16:58.691 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:16:59.720 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:00.689 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:01.708 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:02.723 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:03.705 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:04.721 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:05.712 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:06.709 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:07.721 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:08.701 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:09.699 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:10.721 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:11.706 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:12.707 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:13.684 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:14.696 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:15.692 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
2024-05-01 03:17:16.688 [Thread-1] INFO  skf.core.SEEHLAModule - The Object 'model.Spaceport@759d81f3' has been updated on the HLA/RTI platform.
