2024-04-30 19:10:30.126 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2024-04-30 19:10:30.145 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-04-30 19:10:30.333 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2024-04-30 19:10:30.415 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.5.9, hlaVersion: HLA IEEE 1516-2010
2024-04-30 19:10:31.224 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2024-04-30 19:10:31.225 [main] INFO  skf.core.SEEHLAModule - Join the federate ' BSF CommunicationHub ' into the Federation execution ' SEE 2024 '.
2024-04-30 19:11:06.972 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2024-04-30 19:11:06.983 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-04-30 19:11:07.125 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2024-04-30 19:11:07.173 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.5.9, hlaVersion: HLA IEEE 1516-2010
2024-04-30 19:11:07.964 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2024-04-30 19:11:07.965 [main] INFO  skf.core.SEEHLAModule - Join the federate ' BSF CommunicationHub ' into the Federation execution ' SEE 2024 '.
2024-04-30 19:12:26.439 [main] INFO  skf.core.SEEAbstractFederateAmbassador - SEEAbstractFederateAmbassador Costruttore
2024-04-30 19:12:26.451 [main] INFO  skf.config.ConfigurationFactory - Importing the SFK configuration file
2024-04-30 19:12:26.590 [main] INFO  skf.core.SEEHLAModule - Connecting to HLA/RTI.
2024-04-30 19:12:26.648 [main] INFO  skf.core.SEERTIAmbassador - Vendor HLA/RTI: name:pRTI 1516, rtiVersion: v5.5.9, hlaVersion: HLA IEEE 1516-2010
2024-04-30 19:12:27.384 [main] INFO  skf.core.SEEHLAModule - Loading FOMs modules.
2024-04-30 19:12:27.385 [main] INFO  skf.core.SEEHLAModule - Join the federate ' BSF CommunicationHub ' into the Federation execution ' SEE 2024 '.
2024-04-30 19:12:28.833 [main] INFO  skf.core.SEEHLAModule - Asynchronous delivery enabled.
2024-04-30 19:12:28.833 [main] INFO  skf.core.SEEHLAModule - Subscribed to the Subject
2024-04-30 19:12:28.913 [prti1516e: LRC[0x2c5529ab] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - Synchronization point announced: INITIALIZATION_COMPLETED
2024-04-30 19:12:28.944 [main] INFO  skf.core.SEEHLAModule - The ObjectClass 'class skf.model.object.executionConfiguration.ExecutionConfiguration' has been subscribed.
2024-04-30 19:12:28.955 [prti1516e: LRC[0x2c5529ab] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<102>, ObjectClassHandle: objectClass<9>, Name: ExCO, FederateHandle: null
2024-04-30 19:12:29.130 [main] INFO  skf.core.SEEHLAModule - The Interaction ' ModeTransitionRequest [execution_mode=null] ' has been published.
2024-04-30 19:12:29.137 [main] INFO  skf.core.SEEHLAModule - The Object ' model.CommunicationHub@6d6cb754 ' has been published.
2024-04-30 19:12:29.138 [main] INFO  skf.core.SEEHLAModule - Subscribing the ' AitkenBasinLocalFixed ' ReferenceFrame
2024-04-30 19:12:29.148 [main] INFO  skf.core.SEEHLAModule - Set up time management.
2024-04-30 19:12:29.148 [main] INFO  skf.core.SEEHLAModule - Time constrained enabled.
2024-04-30 19:12:29.159 [prti1516e: LRC[0x2c5529ab] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1103>, ObjectClassHandle: objectClass<8>, Name: SunCentricInertial, FederateHandle: null
2024-04-30 19:12:29.171 [prti1516e: LRC[0x2c5529ab] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1110>, ObjectClassHandle: objectClass<8>, Name: EarthMoonL2Rotating, FederateHandle: null
2024-04-30 19:12:29.171 [prti1516e: LRC[0x2c5529ab] Federate service] INFO  skf.core.SEEAbstractFederateAmbassador - ObjectInstanceHandle: instance<1108>, ObjectClassHandle: objectClass<8>, Name: MoonCentricInertial, FederateHandle: null
